nama_benar,nama_campuran
riyanti,itaiynr
rajiman,armijna
leginem,elnemig
suparjo,sprojua
suliyatin,naiytulis
sariman,rinsmaa
tasminah,hnatmias
nafiudin,nuindiaf
ismini,insiim
siswanto,swnstioa
mu'alifah,u'hamiafl
sugianto,ingaoust
niwan,inanw
mustofa,smfutoa
jubadi,bdijua
jumali,imaluj
sudarseh,sadusreh
apriyani,niapaiyr
sutrisno,isusontr
sundari,udnrasi
supriyadi,uydrsaipi
herman,aemnrh
bonem,mebon
siyami,ysiami
suyatno,yntoasu
sriana,aisnra
kasianto,aastnoik
sutrisno,rsnoisut
slamet,astmle
sariani,iarnasi
sukarlan,nrulaska
yatemi,mtiyae
suyatin,tunyias
kasno,nskao
sutanto,asuontt
misriyah,iyrahmsi
sobron,bosrno
rohimin,hrmioin
khusniati,inkatihsu
suyitno,insutyo
yatini,yiatni
ribut,utbir
tentrem,rtemtne
juliman,nimlauj
margani,gaimarn
mujiono,ojnomui
makruf,fakmur
asmani,samain
temen,menet
paino,paoin
napsiyah,ipshayna
suhendro,erohdsun
rojakun,kojnura
kusmiyati,tikmyiusa
tasmiyatun,taiyntsamu
sugianto,sngaouit
remi,rime
supri,sprui
misti,imist
yuliani,iulnyia
sukarman,nksaurma
murjiatun,tjainuurm
suyudi,uydius
hauriatun,nthrauaiu
mursalin,ailsrmun
siswanto,asowsint
legiyem,ygieelm
kamaluddin,uliakddamn
legimin,inmielg
yuliani,uiinlay
wahino,whoani
nurana,naraun
kadirin,irkaind
katmini,itikmna
sumiarsih,uiasirsmh
sorin,irnso
kusningsih,issihnnkug
hasannudin,nauandnhis
mujiriyanto,iaiymojrtun
suparyanto,auonsrtayp
muntofingah,gmtunnhafoi
daiman,mnaaid
ngatini,iatginn
sunaryo,nuarosy
misiyani,iaisniym
suyadi,ayuids
sumono,omnosu
siyamti,amisity
luhimah,hmulahi
juwarno,arwnjou
sulistiyani,siysanuliti
suroto,rtoous
tumirah,uiahtmr
supri,uiprs
suyanto,naystuo
iskandar,nksirada
sangun,usanng
hatoyah,ahoyhta
ismail,isailm
zubaidah,hiadbuza
ruhdi,urdhi
mahara,harmaa
sirma,irams
sholekhan,elskhhoan
suyanto,aysuont
samilatin,nisalamit
kasrun,uskanr
sumilah,sihluam
nurdin,drinnu
kainen,ineakn
arsinawati,asnitrawia
rino,onir
sudarmono,mnuorosda
sulasmi,usilmas
suhadi,dashiu
suryani,nriuasy
daud,duad
rohaya,ohayar
sumidah,duhimas
yusrianto,tuasoriyn
murdiono,iodmounr
maryono,armyono
gumbrik,kgmirub
supinah,iaunhsp
mijan,jmian
suyatun,tasyuun
sugiono,oinogsu
pujiwati,jptiuiaw
rahman,naarhm
nuriatik,iauirknt
mundakir,kduramin
damiyem,dmeiaym
mujahid,muihdja
muspiyah,hmpyauis
misni,misin
suyani,asnyui
salip,iaspl
wariyah,aiyhwra
sunarto,ounarst
pariyadi,piaidary
wahyuni,wnuhyai
yusnani,sainynu
misman,asmmin
dasri,idsra
sumilan,sanluim
maslina,ailmasn
sulanggeng,gnnluesgag
darsini,iirsadn
legimin,emgiinl
sumarni,smaniru
tukinah,tkhunia
isa'atun,uasatin'
wartini,iiwtnra
junaidi,ijanudi
darningsih,rdnisanhig
supriyanto,ianosryutp
muslimah,auilsmhm
saminah,asiamhn
asnawati,awisatan
jumar,arjum
kamiah,imakah
hermawan,wmahaern
mudarman,amnrdamu
wahyudi,ywudiha
darmi,adimr
suwandi,diuwsna
satriaman,aiatasrnm
sudaryanto,rtsyanaudo
suparmi,rpasimu
sarno,srnoa
sariji,asirij
karno,rakon
ngatina,nanaigt
sabar,rabsa
wagiman,amngiwa
ratmini,artnimi
wahyudi,uhwiday
sumarno,moasurn
sapudin,ansduip
suherman,urhamnes
indriyani,niidynair
hendriyanto,tnaiydnhoer
mujiatun,taujuimn
sukini,uikisn
karisun,nskauir
ro'is,i'sor
jamaludin,liadmajun
darmawan,wramanad
mujiana,njmaaiu
aminah,inamha
aspuri,uiaprs
mamiati,mmiiata
riswanto,otsanwir
sanem,senam
mujiono,onjiumo
suprapti,iraptusp
sutar,strau
suratin,untaris
suparman,mansrapu
emrizal,lemiazr
rosid,osdri
ismiyati,aistiymi
marsudin,madrinus
sugini,iginsu
mistin,mntisi
sulistiono,sioniouslt
ridwan,irdnaw
sulasmi,salmisu
poniman,npmaion
sufitria,ftsuarii
muslim,lumsim
legiani,iiaelng
sarmin,snrmia
baniyah,inhyaab
ponijan,onpjina
qomariyah,hmoqayari
suherman,emanhsru
fatmawati,wafiattma
paiman,aainmp
herman,aermhn
siyono,yonsoi
winarsih,ihswniar
kuniran,ianrkun
khuzaimah,khzmhaiau
maryani,armayni
sutarmi,mrtsuai
wasirah,warhisa
suyud,dysuu
katmini,itiknma
mustakim,mkaistmu
muhyadi,amyduih
muhni,umhin
maniso,oamsni
sutopo,uotops
jaimah,haimja
sukirlan,nksuiarl
andra,dnaar
wagirin,grwinai
suyadi,idyusa
sunarti,natuirs
prayitno,tpyornai
muhsin,unihsm
khotimah,ihatomhk
suparno,oparnsu
slamet,taselm
sujarman,rsnaumaj
witono,nowito
hatini,aiihtn
supriyanto,sinruyaotp
sutinah,naiusht
mulyana,yanmlau
susilowati,tswailusoi
suparno,srpauon
rasmo,mosra
sungkono,unnkgoso
sumiati,imatius
tarun,ntrau
solihatin,solthniai
girin,ignir
samijem,mmjaies
sukarmin,srminauk
nasib,anbsi
yatini,iytnai
nurhalipah,paliurhahn
nurhalimah,ahlumrinha
mufiroh,houirmf
marwan,anarwm
sunarti,itrauns
tumiran,trinuam
juwariyah,awahrujiy
sudarmono,onsmraodu
sutarini,iiuatrsn
samijo,omjsai
mawarni,rnmaawi
sucipto,pisutco
nursyamsi,ismynarus
ngadini,ngdaiin
hadimah,hdmaahi
sukandi,kusiadn
eem,mee
